aX,aY,aZ,gX,gY,gZ
0.234,-0.084,1.064,-12.512,-1.343,-0.366
0.236,-0.054,1.063,-8.423,-0.488,0.916
0.239,-0.035,1.046,-2.502,0.732,1.648
0.241,-0.021,1.012,1.709,1.099,2.075
0.252,-0.011,0.981,2.625,1.404,2.258
0.266,-0.006,0.963,0.671,1.099,1.404
0.279,-0.007,0.950,-2.991,0.793,-0.549
0.284,-0.020,0.954,-5.859,1.221,-2.930
0.274,-0.033,0.975,-6.775,2.075,-5.127
0.260,-0.038,0.997,-7.019,1.404,-6.836
0.248,-0.042,1.006,-6.104,-0.305,-6.714
0.235,-0.056,1.009,-4.028,-1.831,-5.005
0.221,-0.057,1.008,-2.380,-2.625,-3.052
0.221,-0.051,1.007,-1.343,-2.625,-0.854
0.232,-0.048,1.009,-0.305,-2.441,1.770
0.241,-0.044,1.007,0.732,-2.563,3.540
0.247,-0.040,1.000,2.380,-2.197,4.028
0.249,-0.026,0.991,2.930,-1.587,4.150
0.257,-0.011,0.989,1.831,-0.977,4.028
0.265,-0.008,0.984,1.404,-0.732,2.869
0.261,-0.013,0.980,2.075,-0.732,1.038
0.253,-0.017,0.980,1.404,-0.793,-0.549
0.250,-0.016,0.987,-0.610,-0.977,-1.099
0.252,-0.026,0.998,-2.136,-0.793,-1.099
0.244,-0.038,1.001,-1.770,-0.488,-1.160
0.234,-0.046,1.004,-0.244,-0.366,-1.404
0.225,-0.048,1.005,0.793,-0.366,-0.854
0.224,-0.046,1.005,1.709,-0.488,0.244
0.227,-0.046,1.001,3.052,0.061,1.160
0.225,-0.041,1.001,4.395,0.916,1.526
0.227,-0.032,1.004,5.310,2.502,1.526

0.700,-0.415,-0.556,-35.156,-16.418,3.113
0.724,-0.423,-0.602,-26.672,-19.348,4.761
0.710,-0.412,-0.609,-21.423,-20.020,7.080
0.688,-0.399,-0.720,-17.761,-24.658,3.723
0.665,-0.400,-0.812,-14.587,-27.405,1.160
0.670,-0.362,-0.861,-18.127,-31.799,-0.671
0.706,-0.319,-0.943,-20.630,-35.522,-3.601
0.723,-0.334,-1.003,-22.705,-38.513,-9.216
0.700,-0.291,-0.981,-26.733,-41.260,-18.005
0.728,-0.302,-0.957,-24.536,-44.495,-27.344
0.663,-0.382,-1.071,-14.465,-49.194,-39.307
0.580,-0.460,-1.192,-10.803,-56.885,-50.781
0.504,-0.498,-1.278,-15.259,-69.275,-54.688
0.419,-0.510,-1.328,-20.447,-84.717,-53.284
0.350,-0.535,-1.353,-22.644,-107.178,-48.401
0.307,-0.659,-1.309,-24.841,-136.658,-41.565
0.243,-0.546,-1.290,-29.541,-172.302,-34.302
0.243,-0.528,-1.193,-17.212,-198.730,-25.513
0.224,-0.473,-1.114,-13.123,-227.905,-13.062
0.308,-0.485,-1.047,-8.911,-259.460,-2.808
0.385,-0.401,-1.056,-4.211,-287.903,-2.747
0.234,-0.174,-0.920,-11.292,-312.866,-18.738
0.169,-0.088,-0.895,-31.677,-346.252,-14.648
0.192,-0.043,-0.854,-54.016,-377.014,5.676
0.250,-0.036,-0.722,-84.717,-404.968,26.428
0.367,-0.105,-0.483,-129.395,-437.866,38.635
0.400,0.280,-0.121,-175.415,-479.004,34.668
0.338,0.411,0.217,-179.077,-511.536,32.959
0.319,0.282,0.427,-145.569,-526.855,26.855
0.222,0.006,0.418,-106.567,-519.714,3.784
0.061,-0.189,0.464,-97.595,-488.342,-26.001
