aX,aY,aZ,gX,gY,gZ
0.950,-0.323,-0.402,13.367,-3.174,-1.160
0.952,-0.327,-0.392,14.160,-10.681,-3.052
0.939,-0.346,-0.351,14.587,-16.235,-3.479
0.933,-0.364,-0.312,14.587,-17.944,-3.845
0.928,-0.378,-0.256,13.855,-15.991,-4.578
0.920,-0.365,-0.202,9.705,-13.123,-5.066
0.918,-0.359,-0.173,4.761,-8.301,-5.005
0.914,-0.361,-0.163,0.854,-2.930,-3.784
0.925,-0.364,-0.161,-1.648,2.014,-2.930
0.932,-0.371,-0.161,-1.892,4.700,-2.258
0.936,-0.369,-0.161,-0.793,4.272,-2.075
0.939,-0.376,-0.170,0.854,2.319,-2.380
0.927,-0.390,-0.179,3.235,1.160,-2.625
0.913,-0.397,-0.192,5.798,1.709,-2.808
0.894,-0.404,-0.206,7.385,2.380,-2.563
0.879,-0.403,-0.222,7.202,2.930,-1.892
0.871,-0.390,-0.217,4.822,3.479,-1.038
0.878,-0.379,-0.197,1.282,4.272,0.305
0.888,-0.372,-0.175,-1.892,5.432,1.831
0.907,-0.356,-0.162,-4.150,6.348,2.869
0.921,-0.354,-0.178,-4.700,7.141,3.052
0.925,-0.362,-0.204,-3.113,6.714,2.625
0.938,-0.363,-0.220,-0.793,5.249,1.648
0.942,-0.371,-0.236,3.479,2.136,0.427

-0.036,-0.066,0.847,-7.568,-18.005,30.090
-0.056,-0.033,0.830,-8.545,-10.010,24.353
0.007,-0.032,1.001,-6.470,-1.343,19.958
-0.062,0.049,1.054,-8.301,-7.568,11.902
-0.081,0.035,1.126,-0.427,-8.362,3.540
-0.120,-0.035,1.183,4.333,0.122,0.366
-0.146,-0.046,1.250,8.423,16.541,-1.892
-0.151,-0.020,1.297,17.090,35.522,-0.061
-0.121,0.009,1.363,32.043,54.321,3.113
-0.074,0.043,1.371,52.429,70.435,1.892
-0.054,0.060,1.286,73.181,82.397,-3.845
-0.088,0.100,1.149,87.708,87.219,-11.353
-0.085,0.052,1.229,90.393,85.999,-13.245
-0.060,-0.004,1.393,87.158,87.891,-15.808
-0.066,-0.006,1.490,86.853,90.576,-26.306
-0.117,-0.001,1.515,78.735,94.788,-37.781
-0.173,0.044,1.488,68.298,103.149,-46.448
-0.139,0.027,1.566,67.932,123.840,-48.889
-0.192,0.011,1.519,60.852,132.935,-46.692
-0.221,0.037,1.561,58.777,136.169,-43.823
-0.217,0.014,1.586,63.721,136.169,-35.156
-0.180,-0.033,1.569,72.571,134.277,-23.865
-0.139,-0.048,1.494,80.383,134.827,-14.404
